Meter_id,Meter Detection,Average_volume,Category,Std of volume,Monthly changing rate,Cust_type,Max_volume,Meter_size,Min_volume,Estimated water_loss
3.76E+13,1,23.8,,6.52,0.1,RESIDENTIAL,36.2,1,11.62,
4.18E+13,1,1.29,,0.73,-0.01,COMMERCIAL,2.71,3,0.07,
1.31E+14,-1,-0.01,,-0.05,-0.03,BOAT DOCK,-0.03,3,1.01,150.09
1.41E+14,1,3.73,,2.04,0.03,RESIDENTIAL,14.12,0.63,1.6,
2.28E+14,-1,0.93,,-0.04,0.01,COMMERCIAL,-0.02,4,4.61,458.08
3.03E+14,1,2.46,,2.01,0.1,RESIDENTIAL,6.77,2,0.35,
4.25E+14,-1,2.02,,-0.01,-0.03,COMMERCIAL,-0.02,4,2.2,633.09
4.78E+14,-1,1.92,,0,-0.01,COMMERCIAL,-0.02,4,2.77,360.06
5.02E+14,1,3.98,,1.24,-0.16,MULTI-FAMILY,9.29,0.63,2.53,
5.22E+14,1,30.91,,10.88,-0.95,RESIDENTIAL,63.64,1,15.23,
5.34E+14,-1,0.79,,-0.05,-0.04,MULTI-FAMILY,-0.02,3,4.28,124.44
5.51E+14,1,5.17,,3.07,0.03,RESIDENTIAL,15.82,0.63,1.97,
5.65E+14,1,1.95,,2.13,-0.07,CITY,8.57,0.63,0,
7.37E+14,1,7.58,,2.09,-0.02,MULTI-FAMILY,12.51,0.63,1.09,
7.72E+14,1,93.05,,21.21,0.48,BOAT DOCK,181.7,3,67.32,
7.85E+14,1,3.38,,1.61,-0.04,RESIDENTIAL,7.22,1,1.34,
8.15E+14,1,18.46,,8.08,-2.57,RESIDENTIAL,34.6,0.63,1.22,
8.40E+14,1,15.47,,5.47,0.11,RESIDENTIAL,26.12,0.63,5.21,
8.58E+14,-1,0.8,,-0.04,-0.05,MULTI-FAMILY,-0.02,3,3.65,230.47
8.64E+14,1,8.69,,1.67,0,MULTI-FAMILY,14.96,0.63,6.15,
8.68E+14,1,18.42,,5.65,-0.08,RESIDENTIAL,35.69,0.63,9.14,
9.13E+14,-1,3.1,,-0.02,-0.06,BOAT DOCK,-0.02,4,13.04,313.4
9.44E+14,1,16.91,,3.3,-0.14,RESIDENTIAL,22.06,0.63,10.83,
9.59E+14,-1,0.59,,-0.05,-0.04,BOAT DOCK,-0.02,4,3.24,174.76
9.81E+14,1,4.03,,1.2,0,RESIDENTIAL,6.8,0.63,0.36,
1.01E+15,1,0.06,,0.36,0,CITY,2.32,4,0,
1.03E+15,1,10.3,,2.78,-0.2,MULTI-FAMILY,20.02,0.63,7.01,
1.04E+15,1,111.71,,115.05,-0.68,COMMERCIAL,373.54,4,0,
1.04E+15,1,111.71,,115.05,-0.68,MULTI-FAMILY,373.54,1,0,
1.08E+15,-1,0.76,,-0.06,-0.05,BOAT DOCK,-0.03,3,4.51,63.61
1.16E+15,-1,0.7,,-0.05,-0.01,BOAT DOCK,-0.03,4,1.04,50.11
1.20E+15,1,6.59,,1.84,0.37,MULTI-FAMILY,8.47,0.75,0.56,
1.24E+15,1,23.24,,6.63,-0.1,RESIDENTIAL,37.53,1,9.57,
1.25E+15,-1,1.81,,-0.03,-0.06,MULTI-FAMILY,-0.02,2,5.2,272.81
1.26E+15,1,22.36,,6.12,-0.05,RESIDENTIAL,35.21,0.63,13.63,
1.28E+15,1,5.85,,0.52,0.01,RESIDENTIAL,6.99,0.63,5.07,
1.31E+15,1,67.39,,18.16,0.59,BOAT DOCK,133.18,3,40.25,
1.37E+15,-1,0.72,,-0.06,-0.04,MULTI-FAMILY,-0.03,3,4.06,89.17
1.39E+15,-1,19.83,Mechanical Problem,0.35,0.26,COMMERCIAL,0.06,10,-0.02,3325.81
1.42E+15,1,19.86,,12.62,0.09,COMMERCIAL,68.3,1,0.11,
1.47E+15,1,6.12,,2.11,-0.14,RESIDENTIAL,10.27,0.63,0,
1.50E+15,-1,0.23,,-0.06,-0.04,BOAT DOCK,-0.03,3,2.57,23.78
1.55E+15,-1,1.02,,-0.05,-0.03,BOAT DOCK,-0.02,3,5.19,104.06
1.56E+15,1,9.44,,2.83,-0.06,MULTI-FAMILY,19.5,0.63,4.9,
1.57E+15,1,2.5,,2.2,0.09,RESIDENTIAL,10.82,0.63,0,
1.62E+15,1,0,,0,0,COMMERCIAL,0,4,0,
1.63E+15,-1,1.28,,-0.02,-0.06,COMMERCIAL,-0.02,4,4.68,452.98
1.70E+15,-1,0.07,,-0.05,-0.06,CONSOLIDATED,-0.03,2,0.25,93.39
1.71E+15,1,303.21,,41.86,-0.96,COMMERCIAL,354.72,3,75.96,
1.76E+15,1,5.29,,1.32,-0.01,MULTI-FAMILY,9.16,0.75,2.84,
1.77E+15,1,39.22,,18.09,-0.5,MULTI-FAMILY,67.32,3,11.58,
1.86E+15,1,17.79,,5.62,-0.25,POOL,32.77,1,8.82,
1.88E+15,1,5.19,,3.27,-0.06,MULTI-FAMILY,15.67,0.75,0.32,
1.89E+15,-1,3.91,,0.08,-0.05,COMMERCIAL,-0.01,6,-0.09,819.83
1.89E+15,-1,3.91,,0.08,-0.05,BOAT DOCK,-0.01,4,-0.09,819.83
1.94E+15,1,4.41,,5.13,-0.04,MULTI-FAMILY,42.02,1,0.82,
1.95E+15,1,69.17,,10.27,-0.22,COMMERCIAL,98.68,2,47.61,
2.00E+15,1,4.57,,2.59,0.09,RESIDENTIAL,8.46,0.63,0,
2.10E+15,1,11.95,,5.67,0.31,COMMERCIAL,37.46,3,6.53,
2.13E+15,1,11.58,,5.04,0.05,RESIDENTIAL,23.49,0.63,2.04,
2.14E+15,1,27.21,,6.54,0.02,CONSOLIDATED,46.33,1.5,14.57,
2.17E+15,1,6.08,,2.7,0.19,RESIDENTIAL,11.4,1,0.4,
2.19E+15,1,20.73,,12.98,-0.28,RESIDENTIAL,54.33,0.63,0,
2.24E+15,1,20.77,,37.15,-0.16,RESIDENTIAL,284.26,0.63,2.72,
2.25E+15,1,65.92,,27.45,-0.24,MULTI-FAMILY,176.72,2,23.76,
2.26E+15,1,117.22,,84.12,0.51,MULTI-FAMILY,369.49,3,27.51,
2.32E+15,-1,2.66,,0.08,0.05,COMMERCIAL,-0.01,6,-0.04,909.73
2.34E+15,1,17.36,,7.43,0.09,RESIDENTIAL,34.02,0.63,1.09,
